Glc_res,Gal_res,Dilution
15.12385919,0,0.2
32.00782269,0,0.3
54.82398957,0,0.4
84.02868318,0,0.5
36.96219035,1.930501931,0.3
25.09778357,6.177606178,0.3
20.14341591,13.25611326,0.3
18.18774446,19.17631918,0.3
13.23337679,22.26512227,0.3
7.235984355,28.31402831,0.3
2.020860495,36.16473616,0.3
0,40.15444015,0.3
0,18.01801802,0.2
0,58.04375804,0.34
0,67.95366795,0.4
34.22425033,34.10553411,0.4
38.9178618,45.04504505,0.45
0,101.4157014,0.45
61.86440678,61.9047619,0.51
78.03129074,79.66537967,0.55