ID,Name,Import
EX_ac_e,Acetate exchange,FALSE
EX_arab__L_e,L-Arabinose exchange,TRUE
EX_ca2_e,Calcium exchange,TRUE
EX_cl_e,Chloride exchange,TRUE
EX_co2_e,CO2 exchange,FALSE
EX_cobalt2_e,Co2+ exchange,TRUE
EX_cu2_e,Cu2+ exchange,TRUE
EX_etoh_e,Ethanol exchange,FALSE
EX_fe2_e,Fe2+ exchange,TRUE
EX_fe3_e,Fe3+ exchange,TRUE
EX_for_e,Formate exchange,FALSE
EX_fru_e,D-Fructose exchange,TRUE
EX_glc__D_e,D-Glucose exchange,TRUE
EX_h_e,H+ exchange,FALSE
EX_h2_e,H2 exchange,FALSE
EX_h2o_e,H2O exchange,FALSE
EX_ile__L_e,L-Isoleucine exchange,TRUE
EX_k_e,K+ exchange,TRUE
EX_leu__L_e,L-Leucine exchange,TRUE
EX_met__D_e,D-Methionine exchange,TRUE
EX_mg2_e,Mg exchange,TRUE
EX_mn2_e,Mn2+ exchange,TRUE
EX_mnl_e,D-Mannitol exchange,TRUE
EX_mobd_e,Molybdate exchange,TRUE
EX_nh4_e,Ammonia exchange,TRUE
EX_o2_e,O2 exchange,TRUE
EX_phe__L_e,L-Phenylalanine exchange,TRUE
EX_pi_e,Phosphate exchange,TRUE
EX_pro__L_e,L-Proline exchange,TRUE
EX_so4_e,Sulfate exchange,TRUE
EX_succ_e,Succinate exchange,FALSE
EX_sucr_e,Sucrose exchange,TRUE
EX_thr__L_e,L-Threonine exchange,TRUE
EX_trp__L_e,L-Tryptophan exchange,TRUE
EX_val__L_e,L-Valine exchange,TRUE
EX_zn2_e,Zinc exchange,TRUE